"parentCustomerID","child_id","ChildCustomerId"
864,101,"1. Parent company"
67,218,"3. Factuuradres"
67,218,"1. Parent company"
97,273,"3. Factuuradres"
97,273,"1. Parent company"
67,275,"3. Factuuradres"
67,275,"1. Parent company"
278,279,"3. Factuuradres"
278,279,"1. Parent company"
158,281,"1. Parent company"
15,281,"1. Parent company"
1765,285,"1. Parent company"
3140,285,"1. Parent company"
3342,285,"1. Parent company"
4693,285,"1. Parent company"
423,287,"1. Parent company"
1208,288,"1. Parent company"
3404,288,"1. Parent company"
290,289,C. Traveller
1064,299,Chain
1232,299,Chain
15,318,"3. Factuuradres"
15,318,"1. Parent company"
318,320,Hotelname
318,321,Hotelname
318,322,Hotelname
318,323,Hotelname
284,324,Hotelname
284,326,Hotelname
284,327,Hotelname
284,328,Hotelname
284,330,Hotelname
330,331,Hotelname
330,332,Hotelname
284,333,Hotelname
333,334,Hotelname
284,335,Hotelname
285,336,Hotelname
285,337,Hotelname
285,339,Hotelname
285,340,Hotelname
340,341,Hotelname
285,342,Hotelname
342,343,Hotelname
285,344,Hotelname
344,345,Hotelname
285,346,Hotelname
285,347,Hotelname
347,348,Hotelname
285,349,Hotelname
349,350,Hotelname
285,351,Hotelname
285,352,Hotelname
285,353,Hotelname
353,354,Hotelname
285,355,Hotelname
285,356,Hotelname
356,357,Hotelname
285,358,Hotelname
285,359,Hotelname
2207,359,Hotelname
3042,359,Hotelname
285,360,Hotelname
285,361,Reservations
285,361,Hotelname
361,362,"3. Factuuradres"
361,362,Hotelname
285,365,Hotelname
285,366,Hotelname
285,367,Hotelname
285,368,Hotelname
368,369,Hotelname
285,370,Hotelname
285,371,Hotelname
371,372,Hotelname
285,373,Hotelname
285,374,Hotelname
374,375,Hotelname
285,376,Hotelname
285,377,Hotelname
377,378,Hotelname
285,379,Hotelname
379,380,Hotelname
285,381,Hotelname
285,382,Hotelname
382,383,Hotelname
285,384,Hotelname
384,385,Hotelname
285,386,Hotelname
285,387,Hotelname
285,388,Hotelname
388,389,Hotelname
286,390,Hotelname
286,391,Reservations
286,392,"3. Factuuradres"
286,392,Hotelname
286,395,Hotelname
395,396,Hotelname
286,397,Hotelname
397,398,Hotelname
286,399,Hotelname
399,400,Hotelname
286,401,Hotelname
401,402,Hotelname
286,403,Hotelname
403,404,Hotelname
286,405,Hotelname
405,406,Hotelname
286,407,Hotelname
407,408,Hotelname
407,409,Hotelname
286,410,Hotelname
410,411,Hotelname
410,412,Hotelname
286,413,Hotelname
413,414,Hotelname
286,415,Reservations
415,416,Hotelname
286,417,Hotelname
417,418,Hotelname
419,420,Hotelname
287,421,Hotelname
287,422,Hotelname
759,423,Hotelname
287,423,Hotelname
423,424,Hotelname
287,425,Hotelname
288,426,Hotelname
426,427,Hotelname
426,428,Hotelname
429,430,Hotelname
429,431,Hotelname
288,432,Hotelname
432,433,Hotelname
288,434,Hotelname
434,435,Hotelname
434,437,Hotelname
288,438,Hotelname
438,439,Hotelname
438,440,Hotelname
288,441,Hotelname
441,442,Hotelname
288,443,Hotelname
443,444,Hotelname
443,445,Hotelname
288,446,Hotelname
446,448,Hotelname
434,449,Hotelname
446,449,Hotelname
288,451,Hotelname
451,452,Sales Manager
451,452,Chain
451,453,Sales Manager
451,453,Chain
288,454,ii. Hotel
288,454,Chain
288,454,Contracted
454,455,ii. Hotel
454,455,Chain
454,455,Contracted
454,456,ii. Hotel
454,456,Chain
289,457,Sales Manager
289,457,Chain
289,458,ii. Hotel
289,458,Chain
290,459,ii. Hotel
290,459,Chain
290,460,ii. Hotel
290,460,Chain
290,461,Sales Manager
290,461,Hotelname
290,462,ii. Hotel
290,462,Chain
462,463,ii. Hotel
462,463,Chain
462,464,ii. Hotel
462,464,Chain
290,465,ii. Hotel
290,465,Chain
465,466,ii. Hotel
465,466,Chain
290,467,ii. Hotel
290,467,Chain
467,468,ii. Hotel
467,468,Chain
467,469,ii. Hotel
467,469,Chain
290,470,ii. Hotel
290,470,Chain
470,471,ii. Hotel
470,471,Chain
289,472,ii. Hotel
289,472,Chain
472,473,ii. Hotel
472,473,Chain
291,474,ii. Hotel
291,474,Chain
291,475,ii. Hotel
291,475,Chain
475,476,ii. Hotel
475,476,Chain
475,477,ii. Hotel
475,477,Chain
291,478,ii. Hotel
291,478,Chain
478,479,ii. Hotel
478,479,Chain
291,480,ii. Hotel
291,480,Chain
480,481,ii. Hotel
480,481,Chain
480,482,ii. Hotel
480,482,Chain
291,483,ii. Hotel
291,483,Chain
483,484,ii. Hotel
483,484,Chain
483,485,ii. Hotel
483,485,Chain
291,486,ii. Hotel
291,486,Chain
486,487,ii. Hotel
486,487,Chain
486,488,ii. Hotel
486,488,Chain
486,489,ii. Hotel
486,489,Chain
486,490,ii. Hotel
486,490,Chain
291,491,ii. Hotel
291,491,Chain
491,492,ii. Hotel
491,492,Chain
491,493,ii. Hotel
491,493,Chain
291,494,ii. Hotel
291,494,Chain
494,495,Sales Manager
494,495,Chain
291,497,ii. Hotel
291,497,Chain
497,498,ii. Hotel
497,498,Chain
497,499,ii. Hotel
497,499,Chain
291,500,ii. Hotel
291,500,Chain
500,501,ii. Hotel
500,501,Chain
500,502,ii. Hotel
500,502,Chain
291,503,ii. Hotel
291,503,Chain
503,504,Banquet Sales
503,504,Hotelname
503,506,ii. Hotel
503,506,Chain
291,507,ii. Hotel
291,507,Chain
507,508,ii. Hotel
507,508,Chain
292,509,ii. Hotel
292,509,Chain
292,510,Banquet Sales
292,510,Chain
293,511,Sales Manager
293,511,Chain
293,512,ii. Hotel
293,512,Chain
512,513,ii. Hotel
512,513,Chain
293,514,ii. Hotel
293,514,Chain
514,515,Banquet Sales
514,515,Hotelname
514,516,ii. Hotel
514,516,Chain
514,517,ii. Hotel
514,517,Chain
293,518,ii. Hotel
293,518,Chain
518,519,Sales Manager
518,519,Hotelname
520,521,ii. Hotel
520,521,Chain
293,522,Banquet Sales
293,522,Hotelname
522,523,ii. Hotel
522,523,Chain
293,524,ii. Hotel
293,524,Chain
524,525,ii. Hotel
524,525,Chain
293,526,Banquet Sales
293,526,Hotelname
526,528,Sales Manager
526,528,Hotelname
